fsm_stage_descr,dn,num_of_eth_host_ifs,total_memory,scaled_mode,fsm_try,num_of_fc_host_ifs,sacl,discovery_status,fsm_rmt_inv_err_descr,_handle,oper_state,presence,num_of40_g_adaptors_with_old_fw,num_of_adaptors,lc_ts,num_of_threads,fsm_rmt_inv_err_code,fsm_prev,_ManagedObject__status,fsm_status,serial,revision,availability,_class_id,child_action,admin_power,server_id,fsm_stamp,available_memory,descr,_ManagedObject__parent_dn,fsm_progr,fsm_flags,part_number,chassis_id,check_point,policy_owner,local_id,managing_inst,oper_qualifier,mfg_time,policy_level,rn,oper_pwr_trans_src,discovery,status,vid,_ManagedObject__xtra_props,vendor,conn_path,num_of40_g_adaptors_with_unknown_fw,memory_speed,flt_aggr,conn_status,assigned_to_dn,admin_state,num_of_cpus,int_id,fsm_rmt_inv_rslt,_ManagedObject__parent_mo,association,lc,name,_child,_dirty_mask,collected_date,low_voltage_memory,original_uuid,uuid,_ManagedObject__xtra_props_dirty_mask,fsm_descr,oper_power,slot_id,usr_lbl,num_of_cores,model,num_of_cores_enabled,operability
,sys/chassis-1/blade-2,0,393216,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3331,0,available,ComputeBlade,,policy,1/2,2016-12-28T04:42:04.042,393216,,sys/chassis-1,100,,,1,discovered,local,,A,,not-applicable,0,blade-2,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,38195,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0102-b9a761bde3fb,1b4e28ba-2fa1-11d2-0102-b9a761bde3fb,1,,on,2,,8,UCSB-B200-M3,8,operable
,sys/chassis-1/blade-1,0,196608,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3336,0,available,ComputeBlade,,policy,1/1,2016-12-28T04:42:03.997,196608,,sys/chassis-1,100,,,1,discovered,local,,A,,not-applicable,0,blade-1,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,38273,,,none,undiscovered,allocated-soi,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0101-b9a761bde3fb,1b4e28ba-2fa1-11d2-0101-b9a761bde3fb,1,,on,1,mxesx9999.active.tan,8,UCSB-B22-M3,8,operable
,sys/chassis-1/blade-8,0,393216,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3335,0,available,ComputeBlade,,policy,1/8,2016-12-28T04:42:04.035,393216,,sys/chassis-1,100,,,1,discovered,local,,A,,not-applicable,0,blade-8,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,38297,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0108-b9a761bde3fb,1b4e28ba-2fa1-11d2-0108-b9a761bde3fb,1,,on,8,,8,UCSB-B200-M3,8,operable
,sys/chassis-1/blade-7,0,196608,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3334,0,available,ComputeBlade,,policy,1/7,2016-12-28T04:42:03.769,196608,,sys/chassis-1,100,,,1,discovered,local,,B,,not-applicable,0,blade-7,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,38320,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0107-b9a761bde3fb,1b4e28ba-2fa1-11d2-0107-b9a761bde3fb,1,,on,7,,8,UCSB-B22-M3,8,operable
,sys/chassis-1/blade-6,0,393216,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3338,0,available,ComputeBlade,,policy,1/6,2016-12-28T04:42:04.089,393216,,sys/chassis-1,100,,,1,discovered,local,,A,,not-applicable,0,blade-6,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,38343,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0106-b9a761bde3fb,1b4e28ba-2fa1-11d2-0106-b9a761bde3fb,1,,on,6,,8,UCSB-B200-M3,8,operable
,sys/chassis-1/blade-4,0,196608,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3330,0,available,ComputeBlade,,policy,1/4,2016-12-28T04:42:04.391,196608,,sys/chassis-1,100,,,1,discovered,local,,A,,not-applicable,0,blade-4,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,38366,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0104-b9a761bde3fb,1b4e28ba-2fa1-11d2-0104-b9a761bde3fb,1,,on,4,,8,UCSB-B22-M3,8,operable
,sys/chassis-1/blade-3,0,393216,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3337,0,available,ComputeBlade,,policy,1/3,2016-12-28T04:42:04.050,393216,,sys/chassis-1,100,,,1,discovered,local,,A,,not-applicable,0,blade-3,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,38654,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0103-b9a761bde3fb,1b4e28ba-2fa1-11d2-0103-b9a761bde3fb,1,,on,3,,8,UCSB-B200-M3,8,operable
,sys/chassis-1/blade-5,0,8192,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,6,none,DiscoverSuccess,,nop,3327,0,available,ComputeBlade,,policy,1/5,2016-12-28T04:42:04.066,8192,,sys/chassis-1,100,,,1,discovered,local,,A,,not-applicable,0,blade-5,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,1,38678,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0105-b9a761bde3fb,1b4e28ba-2fa1-11d2-0105-b9a761bde3fb,1,,on,5,,6,UCSB-B200-M3,6,operable
,sys/chassis-2/blade-2,0,393216,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3341,0,available,ComputeBlade,,policy,2/2,2016-12-28T04:42:04.360,393216,,sys/chassis-2,100,,,2,discovered,local,,A,,not-applicable,0,blade-2,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,none,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0202-b9a761bde3fb,1b4e28ba-2fa1-11d2-0202-b9a761bde3fb,1,,on,2,,8,UCSB-B200-M3,8,operable
,sys/chassis-2/blade-1,0,196608,,0,0,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,unassociated,equipped,,2,1970-01-01T00:00:00.000,16,none,DiscoverSuccess,,nop,3344,0,available,ComputeBlade,,policy,2/1,2016-12-28T04:42:04.005,196608,,sys/chassis-2,100,,,2,discovered,local,,A,,not-applicable,0,blade-1,,complete,,,{},Cisco Systems Inc,"A,B",,not-applicable,0,"A,B",,in-service,2,none,,,none,undiscovered,,[],0,2016-12-28 06:58:40,not-applicable,1b4e28ba-2fa1-11d2-0201-b9a761bde3fb,1b4e28ba-2fa1-11d2-0201-b9a761bde3fb,1,,on,1,,8,UCSB-B22-M3,8,operable
