fru_minor_type,dn,fru_major_type,vid,series,_ManagedObject__xtra_props,pid,_handle,_ManagedObject__xtra_props_dirty_mask,clei,oem_part_number,_ManagedObject__status,_class_id,child_action,sku,descr,_ManagedObject__parent_dn,collected_date,policy_owner,sacl,policy_level,rn,status,description,oem_name,int_id,_ManagedObject__parent_mo,name,_child,_dirty_mask,is_sec_fw_update,caption,part_number,vendor_equipment_type
,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU             L7555 @ 1.86GHz-revision-D0/manufacturing,,V01,,{},A01-X0206,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004875AA,,EquipmentManufacturingDef,,A01-X0206,,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU             L7555 @ 1.86GHz-revision-D0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) L7555 1.86GHz 8-Core Nehalem-EX Performance Processor, 95W, 24M LL Cache, Support for: 5.86GT/s QPI, DDR3 1066MHz",Intel Corporation,253452,,Intel(R) Xeon(R) L7555,[],0,,Intel(R) Xeon(R) 8-Core Nehalem-EX  L7555 ,15-12282-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU             X7520 @ 1.86GHz-revision-D0/manufacturing,,V01,,{},A01-X0209,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004887AA,,EquipmentManufacturingDef,,A01-X0209,,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU             X7520 @ 1.86GHz-revision-D0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) X7520 1.86GHz 4-Core Nehalem-EX Performance Processor, 95W, 18M LL Cache, Support for: 4.8GT/s QPI, DDR3 1066MHz",Intel Corporation,253458,,Intel(R) Xeon(R) X7520,[],0,,Intel(R) Xeon(R) 4-Core Nehalem-EX  X7520 ,15-12287-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU             X7550 @ 2.00GHz-revision-D0/manufacturing,,V01,,{},A01-X0201,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004872AA,,EquipmentManufacturingDef,,A01-X0201,,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU             X7550 @ 2.00GHz-revision-D0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) X7550 2.00GHz 8-Core Nehalem-EX Performance Processor, 130W, 18M LL Cache, Support for: 6.4GT/s QPI, DDR3 1066MHz",Intel Corporation,253462,,Intel(R) Xeon(R) X7550,[],0,,Intel(R) Xeon(R) 8-Core Nehalem-EX  X7550 ,15-12280-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU             X7540 @ 2.00GHz-revision-D0/manufacturing,,V01,,{},A01-X0203,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004878AA,,EquipmentManufacturingDef,,A01-X0203,,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU             X7540 @ 2.00GHz-revision-D0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) X7540 2.00GHz 6-Core Nehalem-EX Performance Processor, 105W, 18M LL Cache, Support for: 6.4GT/s QPI, DDR3 1066MHz",Intel Corporation,253466,,Intel(R) Xeon(R) X7540,[],0,,Intel(R) Xeon(R) 6-Core Nehalem-EX  X7540 ,15-12279-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU           L7555 @ 1.86GHz-revision-D0/manufacturing,,V01,,{},A01-X0206,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004875AA,,EquipmentManufacturingDef,,A01-X0206,,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU           L7555 @ 1.86GHz-revision-D0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) L7555 1.86GHz 8-Core 95W, 24MB Cache",Intel Corporation,253472,,Intel(R) Xeon(R) L7555,[],0,,"Intel(R) Xeon(R) L7555 1.86GHz 8-Core 95W, 24MB Cache",15-12282-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           L5520  @ 2.27GHz-revision-0/manufacturing,,V01,,{},N20-X00004,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80602000810AA,,EquipmentManufacturingDef,,N20-X00004,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           L5520  @ 2.27GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel (R) Xeon(R) L5520 2.27GHz, 60W, Support For DDR3 1066MHz (B-3LV)",Intel Corporation,253476,,Intel (R) Xeon(R) L5520,[],0,,Intel (R) Xeon(R) L5520 2.27GHz 60W,15-11806-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           L5520  @ 2.26GHz-revision-0/manufacturing,,V01,,{},N20-X00004,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80602000810AA,,EquipmentManufacturingDef,,N20-X00004,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           L5520  @ 2.26GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) L5520 2.26GHz 4-core 60W 8MB Cache,Intel Corporation,253481,,Intel (R) Xeon(R) L5520,[],0,,Intel(R) Xeon(R) L5520 2.26GHz 4-core 60W 8MB Cache,15-11806-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X7560  @ 2.27GHz-revision-0/manufacturing,,V01,,{},A01-X0200,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004869AA,,EquipmentManufacturingDef,,A01-X0200,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X7560  @ 2.27GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) X7560 2.27GHz 8-Core 130W 24MB Cache,Intel Corporation,253485,,Intel (R) Xeon(R) X7560,[],0,,Intel(R) Xeon(R) 8-Core Nehalem-EX  X7560 ,15-12281-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E7520  @ 1.87GHz-revision-0/manufacturing,,V01,,{},A01-X0209,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004887AA,,EquipmentManufacturingDef,,A01-X0209,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E7520  @ 1.87GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) E7520 1.866GHz 4-Core Nehalem-EX Performance Processor, 95W, 18M LL Cache, Support for: 4.8GT/s QPI, DDR3 1066MHz",Intel Corporation,253489,,Intel(R) Xeon(R) E7520,[],0,,Intel(R) Xeon(R) 4-Core Nehalem-EX  E7520 ,15-12287-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E7520  @ 1.86GHz-revision-0/manufacturing,,V01,,{},A01-X0209,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004887AA,,EquipmentManufacturingDef,,A01-X0209,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E7520  @ 1.86GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) E7520 1.86GHz 4-Core Nehalem-EX Performance Processor, 95W, 18M LL Cache, Support for: 4.8GT/s QPI, DDR3 1066MHz",Intel Corporation,253493,,Intel(R) Xeon(R) E7520,[],0,,Intel(R) Xeon(R) 4-Core Nehalem-EX  E7520 ,15-12287-01,
