fsm_stage_descr,dn,vid,fsm_try,_ManagedObject__status,sacl,psu_type,fsm_rmt_inv_err_descr,_handle,presence,thermal,oper_state,operability,fsm_prev,psu_input_src,fsm_status,serial,id,_class_id,child_action,fsm_stamp,oper_qualifier_reason,_ManagedObject__parent_dn,fsm_progr,fsm_flags,fsm_rmt_inv_err_code,psu_firmware_version,rn,type,revision,status,power_state_qualifier,_ManagedObject__xtra_props,vendor,power,flt_aggr,collected_date,psu_wattage,fsm_rmt_inv_rslt,_ManagedObject__parent_mo,perf,_child,_dirty_mask,_ManagedObject__xtra_props_dirty_mask,fsm_descr,part_number,model,voltage
,sys/switch-B/psu-2,,,,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,operable,operable,,,,psu_2B,2,EquipmentPsu,,,N/A,sys/switch-B,,,,N/A,psu-2,ac,0,,unknown,{},Cisco Systems,on,0,2016-12-28 06:58:41,,,,unknown,[],0,1,,,UCS-PSU-6296UP-AC,unknown
,sys/switch-B/psu-1,,,,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,operable,operable,,,,psu_1B,1,EquipmentPsu,,,N/A,sys/switch-B,,,,N/A,psu-1,ac,0,,unknown,{},Cisco Systems,on,0,2016-12-28 06:58:41,,,,unknown,[],0,1,,,UCS-PSU-6296UP-AC,unknown
,sys/switch-A/psu-2,,,,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,operable,operable,,,,psu_2A,2,EquipmentPsu,,,N/A,sys/switch-A,,,,N/A,psu-2,ac,0,,unknown,{},Cisco Systems,on,0,2016-12-28 06:58:41,,,,unknown,[],0,1,,,UCS-PSU-6296UP-AC,unknown
,sys/switch-A/psu-1,,,,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,operable,operable,,,,psu_1A,1,EquipmentPsu,,,N/A,sys/switch-A,,,,N/A,psu-1,ac,0,,unknown,{},Cisco Systems,on,0,2016-12-28 06:58:41,,,,unknown,[],0,1,,,UCS-PSU-6296UP-AC,unknown
,sys/chassis-1/psu-4,,,,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,operable,operable,,,,DTH12182147,4,EquipmentPsu,,,N/A,sys/chassis-1,,,,N/A,psu-4,ac,0,,unknown,{},Cisco Systems Inc,on,0,2016-12-28 06:58:41,,,,ok,[],0,1,,,N20-PAC5-2500W,ok
,sys/chassis-1/psu-3,,,,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,operable,operable,,,,DTH12182146,3,EquipmentPsu,,,N/A,sys/chassis-1,,,,N/A,psu-3,ac,0,,unknown,{},Cisco Systems Inc,on,0,2016-12-28 06:58:41,,,,ok,[],0,1,,,N20-PAC5-2500W,ok
,sys/chassis-1/psu-2,,,,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,operable,operable,,,,DTH12182145,2,EquipmentPsu,,,N/A,sys/chassis-1,,,,N/A,psu-2,ac,0,,unknown,{},Cisco Systems Inc,on,0,2016-12-28 06:58:41,,,,ok,[],0,1,,,N20-PAC5-2500W,ok
,sys/chassis-1/psu-1,,,,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,operable,operable,,,,DTH12182144,1,EquipmentPsu,,,N/A,sys/chassis-1,,,,N/A,psu-1,ac,0,,unknown,{},Cisco Systems Inc,on,0,2016-12-28 06:58:41,,,,ok,[],0,1,,,N20-PAC5-2500W,ok
,sys/chassis-2/psu-4,,,,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,operable,operable,,,,DTH12182151,4,EquipmentPsu,,,N/A,sys/chassis-2,,,,N/A,psu-4,ac,0,,unknown,{},Cisco Systems Inc,on,0,2016-12-28 06:58:41,,,,ok,[],0,1,,,N20-PAC5-2500W,ok
,sys/chassis-2/psu-3,,,,,,,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,operable,operable,,,,DTH12182150,3,EquipmentPsu,,,N/A,sys/chassis-2,,,,N/A,psu-3,ac,0,,unknown,{},Cisco Systems Inc,on,0,2016-12-28 06:58:41,,,,ok,[],0,1,,,N20-PAC5-2500W,ok
