dn,set,presence,sacl,_ManagedObject__xtra_props,_handle,thermal,oper_state,operability,form_factor,_ManagedObject__status,array,speed,id,_class_id,child_action,latency,capacity,oper_qualifier_reason,clock,collected_date,location_dn,location,oper_qualifier,rn,type,revision,status,vendor,power,visibility,admin_state,serial,_ManagedObject__parent_mo,bank,perf,_dirty_mask,_ManagedObject__parent_dn,_ManagedObject__xtra_props_dirty_mask,_child,model,width,voltage
sys/chassis-1/blade-2/board/memarray-1/mem-20,1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,unknown,FB-DIMM,,1,unspecified,20,MemoryUnit,,1.200000,16384,N/A,1600,2016-12-28 06:58:45,,G1,,mem-20,Other,0,,0xAD00,not-supported,yes,policy,0x06044B201,,20,unknown,0,sys/chassis-1/blade-2/board/memarray-1,1,[],HMT42GR7MFR4A-PB,64,not-supported
sys/chassis-1/blade-2/board/memarray-1/mem-10,1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,unknown,FB-DIMM,,1,unspecified,10,MemoryUnit,,1.200000,16384,N/A,1600,2016-12-28 06:58:45,,D0,,mem-10,Other,0,,0xAD00,not-supported,yes,policy,0x06044B101,,10,unknown,0,sys/chassis-1/blade-2/board/memarray-1,1,[],HMT42GR7MFR4A-PB,64,not-supported
sys/chassis-1/blade-2/board/memarray-1/mem-18,1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,unknown,FB-DIMM,,1,unspecified,18,MemoryUnit,,1.200000,16384,N/A,1600,2016-12-28 06:58:45,,F2,,mem-18,Other,0,,0xAD00,not-supported,yes,policy,0x06044B181,,18,unknown,0,sys/chassis-1/blade-2/board/memarray-1,1,[],HMT42GR7MFR4A-PB,64,not-supported
sys/chassis-1/blade-2/board/memarray-1/mem-8,1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,unknown,FB-DIMM,,1,unspecified,8,MemoryUnit,,1.200000,16384,N/A,1600,2016-12-28 06:58:45,,C1,,mem-8,Other,0,,0xAD00,not-supported,yes,policy,0x06044B81,,8,unknown,0,sys/chassis-1/blade-2/board/memarray-1,1,[],HMT42GR7MFR4A-PB,64,not-supported
sys/chassis-1/blade-2/board/memarray-1/mem-17,1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,unknown,FB-DIMM,,1,unspecified,17,MemoryUnit,,1.200000,16384,N/A,1600,2016-12-28 06:58:45,,F1,,mem-17,Other,0,,0xAD00,not-supported,yes,policy,0x06044B171,,17,unknown,0,sys/chassis-1/blade-2/board/memarray-1,1,[],HMT42GR7MFR4A-PB,64,not-supported
sys/chassis-1/blade-2/board/memarray-1/mem-7,1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,unknown,FB-DIMM,,1,unspecified,7,MemoryUnit,,1.200000,16384,N/A,1600,2016-12-28 06:58:45,,C0,,mem-7,Other,0,,0xAD00,not-supported,yes,policy,0x06044B71,,7,unknown,0,sys/chassis-1/blade-2/board/memarray-1,1,[],HMT42GR7MFR4A-PB,64,not-supported
sys/chassis-1/blade-2/board/memarray-1/mem-19,1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,unknown,FB-DIMM,,1,unspecified,19,MemoryUnit,,1.200000,16384,N/A,1600,2016-12-28 06:58:45,,G0,,mem-19,Other,0,,0xAD00,not-supported,yes,policy,0x06044B191,,19,unknown,0,sys/chassis-1/blade-2/board/memarray-1,1,[],HMT42GR7MFR4A-PB,64,not-supported
sys/chassis-1/blade-2/board/memarray-1/mem-16,1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,unknown,FB-DIMM,,1,unspecified,16,MemoryUnit,,1.200000,16384,N/A,1600,2016-12-28 06:58:45,,F0,,mem-16,Other,0,,0xAD00,not-supported,yes,policy,0x06044B161,,16,unknown,0,sys/chassis-1/blade-2/board/memarray-1,1,[],HMT42GR7MFR4A-PB,64,not-supported
sys/chassis-1/blade-2/board/memarray-1/mem-6,1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,unknown,FB-DIMM,,1,unspecified,6,MemoryUnit,,1.200000,16384,N/A,1600,2016-12-28 06:58:45,,B2,,mem-6,Other,0,,0xAD00,not-supported,yes,policy,0x06044B61,,6,unknown,0,sys/chassis-1/blade-2/board/memarray-1,1,[],HMT42GR7MFR4A-PB,64,not-supported
sys/chassis-1/blade-2/board/memarray-1/mem-15,1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,unknown,FB-DIMM,,1,unspecified,15,MemoryUnit,,1.200000,16384,N/A,1600,2016-12-28 06:58:45,,E2,,mem-15,Other,0,,0xAD00,not-supported,yes,policy,0x06044B151,,15,unknown,0,sys/chassis-1/blade-2/board/memarray-1,1,[],HMT42GR7MFR4A-PB,64,not-supported
