config_state,fsm_stage_descr,device_type,fsm_try,sacl,_ManagedObject__xtra_props,fsm_rmt_inv_err_descr,_handle,link_state,thermal,operability,fsm_prev,_ManagedObject__status,fsm_status,serial,block_size,id,_class_id,child_action,fsm_stamp,connection_protocol,lc,presence,_ManagedObject__parent_dn,fsm_progr,fsm_flags,fsm_rmt_inv_err_code,_ManagedObject__parent_mo,dn,config_check_point,enc_association,power_state,rn,size,revision,status,discovered_path,vendor,raw_size,admin_action,collected_date,link_speed,disk_state,physical_block_size,device_version,fsm_rmt_inv_rslt,number_of_blocks,oper_qualifier_reason,admin_virtual_drive_id,_child,admin_action_trigger,bootable,_dirty_mask,link_state_reason,_ManagedObject__xtra_props_dirty_mask,fsm_descr,variant_type,model
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3580,1024,2,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-1/blade-2/board/storage-SAS-1,,,,,sys/chassis-1/blade-2/board/storage-SAS-1/disk-2,,,unknown,disk-2,104857600,0,,,ATA,,,2016-12-28 06:58:45,unknown,unknown,,,,104857600,N/A,,[],,,0,,1,,,SAMSUNG MCCOE1HG5MXP-0VB03
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3579,1024,1,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-1/blade-2/board/storage-SAS-1,,,,,sys/chassis-1/blade-2/board/storage-SAS-1/disk-1,,,unknown,disk-1,104857600,0,,,ATA,,,2016-12-28 06:58:45,unknown,unknown,,,,104857600,N/A,,[],,,0,,1,,,SAMSUNG MCCOE1HG5MXP-0VB03
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3590,1024,2,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-1/blade-1/board/storage-SAS-1,,,,,sys/chassis-1/blade-1/board/storage-SAS-1/disk-2,,,unknown,disk-2,629145600,0,,,TOSHIBA,,,2016-12-28 06:58:45,unknown,unknown,,,,629145600,N/A,,[],,,0,,1,,,MBF2600RC
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3589,1024,1,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-1/blade-1/board/storage-SAS-1,,,,,sys/chassis-1/blade-1/board/storage-SAS-1/disk-1,,,unknown,disk-1,629145600,0,,,TOSHIBA,,,2016-12-28 06:58:45,unknown,unknown,,,,629145600,N/A,,[],,,0,,1,,,MBF2600RC
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3578,1024,2,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-1/blade-4/board/storage-SAS-1,,,,,sys/chassis-1/blade-4/board/storage-SAS-1/disk-2,,,unknown,disk-2,629145600,0,,,TOSHIBA,,,2016-12-28 06:58:45,unknown,unknown,,,,629145600,N/A,,[],,,0,,1,,,MBF2600RC
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3577,1024,1,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-1/blade-4/board/storage-SAS-1,,,,,sys/chassis-1/blade-4/board/storage-SAS-1/disk-1,,,unknown,disk-1,629145600,0,,,TOSHIBA,,,2016-12-28 06:58:45,unknown,unknown,,,,629145600,N/A,,[],,,0,,1,,,MBF2600RC
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3586,1024,2,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-1/blade-7/board/storage-SAS-1,,,,,sys/chassis-1/blade-7/board/storage-SAS-1/disk-2,,,unknown,disk-2,629145600,0,,,TOSHIBA,,,2016-12-28 06:58:45,unknown,unknown,,,,629145600,N/A,,[],,,0,,1,,,MBF2600RC
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3585,1024,1,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-1/blade-7/board/storage-SAS-1,,,,,sys/chassis-1/blade-7/board/storage-SAS-1/disk-1,,,unknown,disk-1,629145600,0,,,TOSHIBA,,,2016-12-28 06:58:45,unknown,unknown,,,,629145600,N/A,,[],,,0,,1,,,MBF2600RC
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3587,1024,1,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-1/blade-8/board/storage-SAS-1,,,,,sys/chassis-1/blade-8/board/storage-SAS-1/disk-1,,,unknown,disk-1,104857600,0,,,ATA,,,2016-12-28 06:58:45,unknown,unknown,,,,104857600,N/A,,[],,,0,,1,,,SAMSUNG MCCOE1HG5MXP-0VB03
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3588,1024,2,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-1/blade-8/board/storage-SAS-1,,,,,sys/chassis-1/blade-8/board/storage-SAS-1/disk-2,,,unknown,disk-2,104857600,0,,,ATA,,,2016-12-28 06:58:45,unknown,unknown,,,,104857600,N/A,,[],,,0,,1,,,SAMSUNG MCCOE1HG5MXP-0VB03
,,unspecified,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,unknown,,,,,unknown,2,StorageLocalDisk,,,unspecified,available,missing,sys/chassis-1/blade-5/board/storage-SAS-1,,,,,sys/chassis-1/blade-5/board/storage-SAS-1/disk-2,,,unknown,disk-2,unknown,0,,,,,,2016-12-28 06:58:45,unknown,unknown,,,,unknown,N/A,,[],,,0,,1,,,
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3574,1024,1,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-1/blade-5/board/storage-SAS-1,,,,,sys/chassis-1/blade-5/board/storage-SAS-1/disk-1,,,unknown,disk-1,76546048,0,,,SEAGATE,,,2016-12-28 06:58:45,unknown,unknown,,,,76546048,N/A,,[],,,0,,1,,,ST973402SS
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3591,1024,1,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-1/blade-3/board/storage-SAS-1,,,,,sys/chassis-1/blade-3/board/storage-SAS-1/disk-1,,,unknown,disk-1,104857600,0,,,ATA,,,2016-12-28 06:58:45,unknown,unknown,,,,104857600,N/A,,[],,,0,,1,,,SAMSUNG MCCOE1HG5MXP-0VB03
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3592,1024,2,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-1/blade-3/board/storage-SAS-1,,,,,sys/chassis-1/blade-3/board/storage-SAS-1/disk-2,,,unknown,disk-2,104857600,0,,,ATA,,,2016-12-28 06:58:45,unknown,unknown,,,,104857600,N/A,,[],,,0,,1,,,SAMSUNG MCCOE1HG5MXP-0VB03
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3594,1024,2,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-1/blade-6/board/storage-SAS-1,,,,,sys/chassis-1/blade-6/board/storage-SAS-1/disk-2,,,unknown,disk-2,104857600,0,,,ATA,,,2016-12-28 06:58:45,unknown,unknown,,,,104857600,N/A,,[],,,0,,1,,,SAMSUNG MCCOE1HG5MXP-0VB03
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3593,1024,1,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-1/blade-6/board/storage-SAS-1,,,,,sys/chassis-1/blade-6/board/storage-SAS-1/disk-1,,,unknown,disk-1,104857600,0,,,ATA,,,2016-12-28 06:58:45,unknown,unknown,,,,104857600,N/A,,[],,,0,,1,,,SAMSUNG MCCOE1HG5MXP-0VB03
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3614,1024,2,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-4/blade-2/board/storage-SAS-1,,,,,sys/chassis-4/blade-2/board/storage-SAS-1/disk-2,,,unknown,disk-2,104857600,0,,,ATA,,,2016-12-28 06:58:45,unknown,unknown,,,,104857600,N/A,,[],,,0,,1,,,SAMSUNG MCCOE1HG5MXP-0VB03
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3613,1024,1,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-4/blade-2/board/storage-SAS-1,,,,,sys/chassis-4/blade-2/board/storage-SAS-1/disk-1,,,unknown,disk-1,104857600,0,,,ATA,,,2016-12-28 06:58:45,unknown,unknown,,,,104857600,N/A,,[],,,0,,1,,,SAMSUNG MCCOE1HG5MXP-0VB03
,,unspecified,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,unknown,,,,,unknown,2,StorageLocalDisk,,,unspecified,available,missing,sys/chassis-4/blade-5/board/storage-SAS-1,,,,,sys/chassis-4/blade-5/board/storage-SAS-1/disk-2,,,unknown,disk-2,unknown,0,,,,,,2016-12-28 06:58:45,unknown,unknown,,,,unknown,N/A,,[],,,0,,1,,,
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3610,1024,1,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-4/blade-5/board/storage-SAS-1,,,,,sys/chassis-4/blade-5/board/storage-SAS-1/disk-1,,,unknown,disk-1,76546048,0,,,SEAGATE,,,2016-12-28 06:58:45,unknown,unknown,,,,76546048,N/A,,[],,,0,,1,,,ST973402SS
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3619,1024,1,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-4/blade-1/board/storage-SAS-1,,,,,sys/chassis-4/blade-1/board/storage-SAS-1/disk-1,,,unknown,disk-1,629145600,0,,,TOSHIBA,,,2016-12-28 06:58:45,unknown,unknown,,,,629145600,N/A,,[],,,0,,1,,,AL13SEB600
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3620,1024,2,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-4/blade-1/board/storage-SAS-1,,,,,sys/chassis-4/blade-1/board/storage-SAS-1/disk-2,,,unknown,disk-2,629145600,0,,,TOSHIBA,,,2016-12-28 06:58:45,unknown,unknown,,,,629145600,N/A,,[],,,0,,1,,,AL13SEB600
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3618,1024,2,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-4/blade-8/board/storage-SAS-1,,,,,sys/chassis-4/blade-8/board/storage-SAS-1/disk-2,,,unknown,disk-2,104857600,0,,,ATA,,,2016-12-28 06:58:45,unknown,unknown,,,,104857600,N/A,,[],,,0,,1,,,SAMSUNG MCCOE1HG5MXP-0VB03
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3617,1024,1,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-4/blade-8/board/storage-SAS-1,,,,,sys/chassis-4/blade-8/board/storage-SAS-1/disk-1,,,unknown,disk-1,104857600,0,,,ATA,,,2016-12-28 06:58:45,unknown,unknown,,,,104857600,N/A,,[],,,0,,1,,,SAMSUNG MCCOE1HG5MXP-0VB03
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3616,1024,2,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-4/blade-7/board/storage-SAS-1,,,,,sys/chassis-4/blade-7/board/storage-SAS-1/disk-2,,,unknown,disk-2,629145600,0,,,TOSHIBA,,,2016-12-28 06:58:45,unknown,unknown,,,,629145600,N/A,,[],,,0,,1,,,AL13SEB600
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3615,1024,1,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-4/blade-7/board/storage-SAS-1,,,,,sys/chassis-4/blade-7/board/storage-SAS-1/disk-1,,,unknown,disk-1,629145600,0,,,TOSHIBA,,,2016-12-28 06:58:45,unknown,unknown,,,,629145600,N/A,,[],,,0,,1,,,AL13SEB600
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3623,1024,1,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-4/blade-6/board/storage-SAS-1,,,,,sys/chassis-4/blade-6/board/storage-SAS-1/disk-1,,,unknown,disk-1,104857600,0,,,ATA,,,2016-12-28 06:58:45,unknown,unknown,,,,104857600,N/A,,[],,,0,,1,,,SAMSUNG MCCOE1HG5MXP-0VB03
,,HDD,,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,,,not-supported,,,,3624,1024,2,StorageLocalDisk,,,unspecified,available,equipped,sys/chassis-4/blade-6/board/storage-SAS-1,,,,,sys/chassis-4/blade-6/board/storage-SAS-1/disk-2,,,unknown,disk-2,104857600,0,,,ATA,,,2016-12-28 06:58:45,unknown,unknown,,,,104857600,N/A,,[],,,0,,1,,,SAMSUNG MCCOE1HG5MXP-0VB03
